type,word,colour,correct_key,trialsStroop.thisRepN,trialsStroop.thisTrialN,trialsStroop.thisN,trialsStroop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeMessage.started,keywelcome.started,WelcomeScreen.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,Strooptrial.started,textStroopWord.started,keyStroop.started,Strooptrial.stopped,keyStroop.keys,keyStroop.corr,keyStroop.rt,keyStroop.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
incongruent,RED,yellow,y,1,12,36,20,50.562324900063686,,,,,,,,,51.31334280001465,51.32847579999361,51.32847579999361,51.82899740000721,51.82899740000721,51.81288520002272,50.54673860000912,50.562324900063686,50.562324900063686,51.31294130010065,y,1,0.7372513000154868,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,1,13,37,10,51.82899740000721,,,,,,,,,52.96337470004801,52.97847600001842,52.97847600001842,53.47865800000727,53.47865800000727,53.46408579999115,51.81326950003859,51.82899740000721,51.82899740000721,52.96300820005126,g,1,1.1177800999721512,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,BLUE,yellow,y,1,14,38,13,53.47865800000727,,,,,,,,,54.829939100076444,54.8454558000667,54.8454558000667,55.34556740010157,55.34556740010157,55.32957030006219,53.46467220003251,53.47865800000727,53.47865800000727,54.829522100044414,y,1,1.3409745000535622,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,BLUE,blue,b,1,15,39,17,55.34556740010157,,,,,,,,,56.34815990005154,56.36216370004695,56.36216370004695,56.86200530000497,56.86200530000497,56.846184300025925,55.329939900082536,55.34556740010157,55.34556740010157,56.34760890004691,b,1,0.9940316999563947,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,1,16,40,3,56.86200530000497,,,,,,,,,57.397529200068675,57.411934700096026,57.411934700096026,57.91234030004125,57.91234030004125,57.896104100043885,56.84653450001497,56.86200530000497,56.86200530000497,57.397068400052376,y,1,0.5171365999849513,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,blue,b,1,17,41,23,57.91234030004125,,,,,,,,,58.46523359999992,58.47903560008854,58.47903560008854,58.978701100102626,58.978701100102626,58.96330350008793,57.89647660008632,57.91234030004125,57.91234030004125,58.46465950005222,y,0,0.5391661999747157,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,1,18,42,0,58.978701100102626,,,,,,,,,59.647579300100915,59.66208480007481,59.66208480007481,60.16240220004693,60.16240220004693,60.14629669999704,58.96365620009601,58.978701100102626,58.978701100102626,59.64713960001245,r,1,0.6564703000476584,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,1,19,43,18,60.16240220004693,,,,,,,,,60.9463909000624,60.962252099998295,60.962252099998295,61.462025100016035,61.462025100016035,61.44628900010139,60.1467783000553,60.16240220004693,60.16240220004693,60.94601340009831,g,1,0.7688108999282122,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,BLUE,red,r,1,20,44,5,61.462025100016035,,,,,,,,,62.167702900012955,62.17880220001098,62.17880220001098,62.67948220006656,62.67948220006656,62.66294680000283,61.44666380004492,61.462025100016035,61.462025100016035,62.16596450004727,r,1,0.7015933999791741,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,BLUE,green,g,1,21,45,21,62.67948220006656,,,,,,,,,64.9297980000265,64.94574570003897,64.94574570003897,65.44590900000185,65.44590900000185,65.42986230005044,62.663319600047544,62.67948220006656,62.67948220006656,64.92944219999481,g,1,2.2351514999754727,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,1,22,46,16,65.44590900000185,,,,,,,,,66.0299706000369,66.04539030010346,66.04539030010346,66.5454308000626,66.5454308000626,66.52967110008467,65.43030830007046,65.44590900000185,65.44590900000185,66.02956560009625,r,1,0.5733783000614494,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,GREEN,green,g,1,23,47,2,66.5454308000626,,,,,,,,,67.34790340007748,67.36208150000311,67.36208150000311,67.86242250003852,67.86242250003852,67.84619670000393,66.53005040006246,66.5454308000626,66.5454308000626,67.34729700000025,g,1,0.7861914999084547,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.84627300000284,67.86242250003852,67.86242250003852,68.44670890003908,space,0.5725665999343619,None,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
