Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,dots.stopped,key_resp.stopped,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.05,0,0.8,1,up,1,3,19,4,28.07873270008713,,,,,,,,,28.49774610006716,28.512253100052476,28.512253100052476,29.01194050000049,29.01194050000049,28.996394200017676,28.063080699997954,28.07873270008713,28.07873270008713,28.496736900066026,right,0,0.41039289999753237,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,1,4,20,7,29.01194050000049,,,,,,,,,29.43083139997907,29.44566080009099,29.44566080009099,29.945389800006524,29.945389800006524,29.92941940005403,28.99685750005301,29.01194050000049,29.01194050000049,29.42995870008599,down,1,0.4053180000046268,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,1,5,21,3,29.945389800006524,,,,,,,,,33.27930360008031,33.29590300004929,33.29590300004929,33.79541100002825,33.79541100002825,33.779451800044626,29.929841400007717,29.945389800006524,29.945389800006524,33.278798400075175,down,0,3.32711409998592,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,1,6,22,9,33.79541100002825,,,,,,,,,36.91146520001348,36.92805430002045,36.92805430002045,,,37.4120570999803,33.77987430000212,33.79541100002825,33.79541100002825,36.91127610008698,up,1,3.1094232000177726,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,1,7,23,0,37.42879909998737,,,,,,,,,38.38145930005703,38.39548170007765,38.39548170007765,38.8952645000536,38.8952645000536,38.879225000040606,37.41239690000657,37.42879909998737,37.42879909998737,38.380518899997696,left,0,0.9482611999846995,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,1,8,24,6,38.8952645000536,,,,,,,,,39.396912800031714,39.41288950003218,39.41288950003218,39.91240570007358,39.91240570007358,39.89732610003557,38.87964020005893,38.8952645000536,38.8952645000536,39.39614840003196,left,1,0.48937159997876734,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,0,0.8,1,up,1,9,25,12,39.91240570007358,,,,,,,,,40.51338790007867,40.52876400004607,40.52876400004607,41.02855290006846,41.02855290006846,41.0124859000789,39.897966900025494,39.91240570007358,39.91240570007358,40.512638200074434,right,0,0.5925956999417394,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,90,0.8,1,right,1,10,26,5,41.02855290006846,,,,,,,,,41.48071770009119,41.495585300028324,41.495585300028324,41.99533030006569,41.99533030006569,41.97924930008594,41.01285270007793,41.02855290006846,41.02855290006846,41.4798504000064,up,0,0.43635400000493973,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,1,11,27,1,41.99533030006569,,,,,,,,,43.1141127999872,43.12897790002171,43.12897790002171,43.628583800047636,43.628583800047636,43.61255180009175,41.979651400004514,41.99533030006569,41.99533030006569,43.11321830004454,left,0,1.101907999953255,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,1,12,28,8,43.628583800047636,,,,,,,,,46.04643660003785,46.06223070004489,46.06223070004489,46.56200630008243,46.56200630008243,46.54629950004164,43.61296130006667,43.628583800047636,43.628583800047636,46.045802999986336,right,1,2.4123649999964982,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,1,13,29,15,46.56200630008243,,,,,,,,,47.06313610007055,47.07864720001817,47.07864720001817,47.57859609997831,47.57859609997831,47.56294550001621,46.54674810008146,46.56200630008243,46.56200630008243,47.06251030007843,down,1,0.4871505000628531,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,1,14,30,10,47.57859609997831,,,,,,,,,48.61275470000692,48.62906710000243,48.62906710000243,49.12872340006288,49.12872340006288,49.11290569999255,47.56332640000619,47.57859609997831,47.57859609997831,48.612179600051604,left,0,1.0226890000049025,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,90,0.8,1,right,1,15,31,13,49.12872340006288,,,,,,,,,49.679804300074466,49.69551680004224,49.69551680004224,50.194713399978355,50.194713399978355,50.17822880006861,49.11334630008787,49.12872340006288,49.12872340006288,49.67915490001906,up,0,0.5440134999807924,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,2,0,32,14,50.194713399978355,,,,,,,,,50.64700970007107,50.6623028999893,50.6623028999893,51.16185460006818,51.16185460006818,51.145452900091186,50.17841390008107,50.194713399978355,50.194713399978355,50.646242700051516,left,1,0.4380458000814542,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,2,1,33,6,51.16185460006818,,,,,,,,,51.547439499991015,51.56248439999763,51.56248439999763,,,52.061631400021724,51.14574639999773,51.16185460006818,51.16185460006818,51.54667970002629,down,0,0.38301950006280094,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,2,2,34,11,52.07801420008764,,,,,,,,,54.7783109000884,54.79469880007673,54.79469880007673,55.294858300010674,55.294858300010674,55.27832170005422,52.061924700043164,52.07801420008764,52.07801420008764,54.77811479999218,right,0,2.68315309996251,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,2,3,35,3,55.294858300010674,,,,,,,,,57.6478890000144,57.66250790003687,57.66250790003687,58.1622693000827,58.1622693000827,58.14584900008049,55.278503700043075,55.294858300010674,55.294858300010674,57.646948700072244,down,0,2.3465511000249535,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,0,0.8,1,up,2,4,36,12,58.1622693000827,,,,,,,,,59.16513910004869,59.17918710003141,59.17918710003141,59.67878840002231,59.67878840002231,59.66297860001214,58.14614710002206,58.1622693000827,58.1622693000827,59.16428969998378,right,0,0.9983202000148594,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,2,5,37,8,59.67878840002231,,,,,,,,,63.03081929998007,63.045168700045906,63.045168700045906,63.54545350000262,63.54545350000262,63.52945560007356,59.66338030004408,59.67878840002231,59.67878840002231,63.03005890001077,right,1,3.3377456000307575,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,2,6,38,1,63.54545350000262,,,,,,,,,65.11389300005976,65.12910140003078,65.12910140003078,65.62878450006247,65.62878450006247,65.61302130005788,63.52979860000778,63.54545350000262,63.54545350000262,65.11305460007861,right,0,1.5519557999214157,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,2,7,39,2,65.62878450006247,,,,,,,,,70.613326300052,70.6291518000653,70.6291518000653,71.12887140002567,71.12887140002567,71.11278680001851,65.61340819997713,65.62878450006247,65.62878450006247,70.61269059998449,None,0,,,70.6291518000653,70.6291518000653,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,2,8,40,15,71.12887140002567,,,,,,,,,71.61270350008272,71.62892350007314,71.62892350007314,72.12818120000884,72.12818120000884,72.11182520003058,71.11320920009166,71.12887140002567,71.12887140002567,71.61220680002589,down,1,0.48058930004481226,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,0,0.8,1,up,2,9,41,4,72.12818120000884,,,,,,,,,72.5478807000909,72.56271660001948,72.56271660001948,73.06224560004193,73.06224560004193,73.04613640008029,72.11200930003542,72.12818120000884,72.12818120000884,72.54682930000126,right,0,0.40837620000820607,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,90,0.8,1,right,2,10,42,5,73.06224560004193,,,,,,,,,73.54729230003431,73.56243970000651,73.56243970000651,74.06219880003482,74.06219880003482,74.04599830007646,73.04652750003152,73.06224560004193,73.06224560004193,73.54646159999538,up,0,0.4669333000201732,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,2,11,43,10,74.06219880003482,,,,,,,,,75.13068569998723,75.14584480004851,75.14584480004851,75.64538020000327,75.64538020000327,75.62965040002018,74.04635359998792,74.06219880003482,74.06219880003482,75.12984409998171,left,0,1.0508761000819504,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,2,12,44,7,75.64538020000327,,,,,,,,,76.2135082000168,76.22904710005969,76.22904710005969,76.72898000001442,76.72898000001442,76.71326310001314,75.63001690001693,75.64538020000327,75.64538020000327,76.21283430000767,down,1,0.5553056999342516,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,2,13,45,0,76.72898000001442,,,,,,,,,78.78091219998896,78.79571900004521,78.79571900004521,79.2954819999868,79.2954819999868,79.27960940008052,76.71370610001031,76.72898000001442,76.72898000001442,78.78015220002271,left,0,2.0476888000266626,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,90,0.1,1,up,2,14,46,9,79.2954819999868,,,,,,,,,81.54730620002374,81.56245630001649,81.56245630001649,82.06216980004683,82.06216980004683,82.04620219999924,79.27994779997971,79.2954819999868,79.2954819999868,81.54646820004564,left,0,2.233662800048478,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,90,0.8,1,right,2,15,47,13,82.06216980004683,,,,,,,,,82.64781770005357,82.66255580005236,82.66255580005236,83.1624183000531,83.1624183000531,83.14607610006351,82.04659200005699,82.06216980004683,82.06216980004683,82.64676570007578,up,0,0.5707059999695048,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,3,0,48,2,83.1624183000531,,,,,,,,,83.88050249998923,83.89582890004385,83.89582890004385,84.39549130003434,84.39549130003434,84.37981100007892,83.14642510004342,83.1624183000531,83.1624183000531,83.87976600008551,left,0,0.7029953000601381,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,3,1,49,15,84.39549130003434,,,,,,,,,84.93060560000595,84.94685030006804,84.94685030006804,85.44557129999157,85.44557129999157,85.42964400001802,84.38019210007042,84.39549130003434,84.39549130003434,84.92983000003733,down,1,0.5259119000984356,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,3,2,50,11,85.44557129999157,,,,,,,,,86.11337939999066,86.12911540002096,86.12911540002096,86.62890100001823,86.62890100001823,86.61308250005823,85.43000330007635,85.44557129999157,85.44557129999157,86.11273629998323,left,1,0.6592821999220178,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
